id,name,artists
4fhgyMV93wxidvHTGFTuIN,"the boy is mine (with Brandy, Monica) – Remix a cappella","['66CXWjxzNUsdJxJ2JdwvnR', '05oH07COxkXKIMt6mIPRee', '6nzxy2wXs6tLgzEtqOkEi2']"
52anJ914oylWdT3CytSMYF,"the boy is mine (with Brandy, Monica) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '05oH07COxkXKIMt6mIPRee', '6nzxy2wXs6tLgzEtqOkEi2']"
5LBv48NNyHsknRYwFWC361,"yes, and? (with Mariah Carey) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '4iHNK0tOyZPYnBU7nGAgpQ']"
6R5licKQW6P3UD64RWtKxb,"yes, and? - Felix Jaehn Remix","['66CXWjxzNUsdJxJ2JdwvnR', '4bL2B6hmLlMWnUEZnorEtG']"
62iX6bbxe9T81LrNwqre3p,"yes, and? - Jonas Blue Remix","['66CXWjxzNUsdJxJ2JdwvnR', '1HBjj22wzbscIZ9sEb5dyf']"
1GxNDaFx9411X1g7cCf55E,"yes, and? - The Blessed Madonna’s Godsquad Mix","['66CXWjxzNUsdJxJ2JdwvnR', '4TvhRzxIL1le2PWCeUqxQw']"
5jvgyMX8IQwzpGeWi6P4Xo,"yes, and? - The Blessed Madonna’s Godsquad Mix","['66CXWjxzNUsdJxJ2JdwvnR', '4TvhRzxIL1le2PWCeUqxQw']"
3oVfohX6LdBkD568rzE8Y7,"yes, and? - Jonas Blue Remix","['66CXWjxzNUsdJxJ2JdwvnR', '1HBjj22wzbscIZ9sEb5dyf']"
7dr1lLSbw7UaEch1ycBxRc,"yes, and? - Felix Jaehn Remix","['66CXWjxzNUsdJxJ2JdwvnR', '4bL2B6hmLlMWnUEZnorEtG']"
7oDd86yk8itslrA9HRP2ki,Die For You - Remix,"['1Xyo4u8uXC1ZmMpatF05PJ', '66CXWjxzNUsdJxJ2JdwvnR']"
5ahXNwWh68Oohss2j2jDnl,"Santa, Can’t You Hear Me - Live","['3BmGtnKgCSGYIUhmivXKWX', '66CXWjxzNUsdJxJ2JdwvnR']"
5XDcWDGnFLs3P3F0XfIpgN,"Santa, Can’t You Hear Me","['3BmGtnKgCSGYIUhmivXKWX', '66CXWjxzNUsdJxJ2JdwvnR']"
0vGVNj5Fmn4TU4foavNZG1,It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),"['7mAcgRMD6EfCKHO6cIkDOP', '66CXWjxzNUsdJxJ2JdwvnR', '181bsRPaVXVlUKXrxwZfHK']"
3QPBocWfIcOCdFFvmqn60F,Just Look Up (From Don’t Look Up),"['66CXWjxzNUsdJxJ2JdwvnR', '0fA0VVWsXO9YnASrzqfmYu']"
2RDVgpDvzwDLEZXCOmgy4J,safety net (feat. Ty Dolla $ign) - live from Vevo,"['66CXWjxzNUsdJxJ2JdwvnR', '7c0XG5cIJTrrAgEC3ULPiq']"
0byLdLL737OkLJ6WRhi85Z,off the table (with The Weeknd) - live from Vevo,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
7B9SFykXtlvM2YCjKwyULL,"Santa, Can’t You Hear Me","['3BmGtnKgCSGYIUhmivXKWX', '66CXWjxzNUsdJxJ2JdwvnR']"
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"['1Xyo4u8uXC1ZmMpatF05PJ', '66CXWjxzNUsdJxJ2JdwvnR']"
71NBvIYtWygMmp7XgQXbvz,Met Him Last Night,"['6S2OmqARrzebs0tKUEyXyp', '66CXWjxzNUsdJxJ2JdwvnR']"
3jjBPF4NDMCU51psU8JPpR,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","['66CXWjxzNUsdJxJ2JdwvnR', '5cj0lLjcoR7YOSnhnX0Po5', '181bsRPaVXVlUKXrxwZfHK']"
5QWJYANfFO2WieIDFTRwWL,Rain On Me - Ralphi Rosario Remix - Edit,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR', '0c5584rnmlOvkMpJtpBLTh']"
0zTazJ3jOT7YR1HGdlawR2,Rain On Me - Ralphi Rosario Remix,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR', '0c5584rnmlOvkMpJtpBLTh']"
0dj5O3Nc6ONKWNd8mErvND,Rain On Me - Purple Disco Machine Remix - Edit,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR', '2WBJQGf1bT1kxuoqziH5g4']"
0b0WJSdPsu531iLWZ0FDqR,Rain On Me - Purple Disco Machine Remix,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR', '2WBJQGf1bT1kxuoqziH5g4']"
